Animal ID,house_number,street_name,city,state
A921338,,,Unknown,
A810189,,,Unknown,
A847900,,,Unknown,
A912818,,,Unknown,
A830055,,,Unknown,
A840226,,,Unknown,
A794544,,,Unknown,
A805603,,,Unknown,
A868514,,,Unknown,
A850917,,,Unknown,
A857554,,,Unknown,
A809681,,,Unknown,
A864537,,,Unknown,
A826568,,,Unknown,
A895466,,,Unknown,
A807898,,,Unknown,
A811362,,,Unknown,
A814549,,,Unknown,
A861108,,,Unknown,
A871427,,,Unknown,
A849296,,,Unknown,
A912575,,,Unknown,
A846018,,,Unknown,
A877853,,,Unknown,
A923937,,,Unknown,
A885285,,,Unknown,
A839435,,,Unknown,
A838051,,,Unknown,
A901881,,,Unknown,
A844713,,,Unknown,
A783119,,,Unknown,
A848892,,,Unknown,
A912576,,,Unknown,
A830267,,,Unknown,
A837130,,,Unknown,
A852725,,,Unknown,
A865308,,,Unknown,
A854475,,,Unknown,
A895946,,,Unknown,
A812919,,,Unknown,
A847894,,,Unknown,
A812899,,,Unknown,
A928515,,,Unknown,
A889709,,,Unknown,
A878317,,,Unknown,
A881640,,,Unknown,
A845543,,,Unknown,
A847907,,,Unknown,
A857091,,,Unknown,
A872714,,,Unknown,
A857092,,,Unknown,
A872717,,,Unknown,
A868513,,,Unknown,
A841829,,,Unknown,
A872010,,,Austin,TX
A891455,,,Unknown,
A845786,,,Unknown,
A878484,,,Unknown,
A849446,,,Unknown,
A862821,,,Unknown,
A849579,,,Unknown,
A867269,,,Unknown,
A840145,,,Unknown,
A867793,,,Unknown,
A882448,,,Unknown,
A857555,,,Unknown,
A895513,,,Unknown,
A912475,,,Unknown,
A847899,,,Unknown,
A814370,,,Unknown,
A882132,,,Unknown,
A824132,,,Unknown,
A867469,,,Unknown,
A906603,,,Unknown,
A874719,,,Unknown,
A812353,,,Unknown,
A798232,,,Unknown,
A874925,,,Unknown,
A807314,,,Unknown,
A840693,,,Unknown,
A837701,,,Unknown,
A917626,,,Unknown,
A871691,,,Unknown,
A813055,,,Unknown,
A827616,,,Unknown,
A882238,,,Unknown,
A888399,,,Unknown,
A830434,,,Austin,TX
A867788,,,Unknown,
A891952,,,Unknown,
A847197,,,Unknown,
A872716,,,Unknown,
A922412,,,Unknown,
A811493,,,Unknown,
A876631,,,Unknown,
A905274,,,Unknown,
A870028,,,Unknown,
A928516,,,Unknown,
A870069,,,Unknown,
A901261,,,Unknown,
A897207,,,Unknown,
A857930,,,Unknown,
A845867,,,Unknown,
A817081,,,Unknown,
A844021,,,Unknown,
A887713,,,Unknown,
A902864,,,Unknown,
A863304,,,Unknown,
A808273,,,Unknown,
A877852,,,Unknown,
A863218,,,Unknown,
A857551,,,Unknown,
A910835,,,Unknown,
A841713,,,Unknown,
A882237,,,Unknown,
A903395,,,Unknown,
A880768,,,Unknown,
A835683,,,Unknown,
A900458,,,Unknown,
A828746,,,Unknown,
A828034,,,Unknown,
A790271,,,Unknown,
A877278,,,Unknown,
A884004,,,Unknown,
A883657,,,Unknown,
A824159,,,Unknown,
A809343,,,Unknown,
A830852,,,Unknown,
A860430,,,Unknown,
A863997,,,Unknown,
A841751,,,Unknown,
A917265,,,Unknown,
A746653,,,Unknown,
A851195,,,Unknown,
A911530,,,Austin,TX
A834026,,,Unknown,
A853117,,,Unknown,
A810745,,,Unknown,
A847893,,,Unknown,
A857319,,,Unknown,
A866687,,,Unknown,
A825625,,,Unknown,
A832522,,,Unknown,
A709260,,,Unknown,
A891292,,,Unknown,
A827991,,,Unknown,
A849297,,,Unknown,
A845562,,,Unknown,
A884002,,,Unknown,
A829445,,,Unknown,
A834950,,,Unknown,
A822084,,,Unknown,
A889655,,,Unknown,
A678252,,,Unknown,
A847741,,,Unknown,
A884494,,,Unknown,
A799458,,,Unknown,
A897543,,,Unknown,
A850855,,,Unknown,
A898652,,,Unknown,
A839313,,,Unknown,
A924145,,,Unknown,
A741062,,,Unknown,
A898255,,,Unknown,
A810978,,,Unknown,
A891071,,,Unknown,
A892867,,,Unknown,
A813055,,,Unknown,
A873404,,,Unknown,
A882134,,,Unknown,
A899578,,,Unknown,
A915199,,,Unknown,
A893585,,,Unknown,
A924095,,,Unknown,
A898256,,,Unknown,
A855282,,,Unknown,
A883655,,,Unknown,
A783382,,,Unknown,
A896647,,,Unknown,
A835513,,,Unknown,
A917231,,,Unknown,
A899727,,,Unknown,
A895467,,,Unknown,
A882450,,,Unknown,
A820808,,,Unknown,
A886349,,,Unknown,
A876483,,,Unknown,
A852216,,,Unknown,
A912559,,,Unknown,
A904147,,,Unknown,
A919414,,,Unknown,
A826259,,,Unknown,
A820574,,,Unknown,
A928240,,,Unknown,
A813737,,,Unknown,
A812360,,,Unknown,
A882452,,,Unknown,
A823105,,,Unknown,
A841045,,,Unknown,
A894236,,,Unknown,
A848085,,,Unknown,
A859821,,,Unknown,
A851115,,,Unknown,
A867543,,,Unknown,
A825389,,,Unknown,
A706291,,,Unknown,
A873611,,,Unknown,
A879977,,,Unknown,
A895874,,,Unknown,
A860580,,,Unknown,
A821835,,,Unknown,
A847375,,,Unknown,
A899730,,,Unknown,
A811251,,,Unknown,
A860247,,,Unknown,
A886510,,,Unknown,
A903390,,,Unknown,
A811455,,,Unknown,
A877319,,,Unknown,
A889366,,,Unknown,
A825785,,,Unknown,
A868481,,,Unknown,
A864734,,,Unknown,
A815498,,,Unknown,
A901857,,,Unknown,
A875706,,,Unknown,
A888362,,,Unknown,
A898233,,,Unknown,
A813947,,,Unknown,
A877851,,,Unknown,
A811263,,,Unknown,
A906720,,,Unknown,
A820898,,,Unknown,
A863622,,,Unknown,
A852377,,,Unknown,
A847895,,,Unknown,
A835508,,,Unknown,
A884158,,,Unknown,
A904146,,,Unknown,
A836865,,,Unknown,
A879507,,,Unknown,
A871827,,,Unknown,
A845526,,,Unknown,
A778076,,,Unknown,
A895769,,,Unknown,
A836737,,,Unknown,
A863893,,,Unknown,
A857950,,,Unknown,
A852174,,,Unknown,
A824156,,,Unknown,
A840828,,,Unknown,
A849362,,,Unknown,
A908066,,,Unknown,
A852469,,,Unknown,
A774758,,,Unknown,
A776330,,,Unknown,
A818293,,,Unknown,
A810707,,,Unknown,
A690359,,,Unknown,
A846576,,,Unknown,
A732650,,,Unknown,
A878195,,,Unknown,
A847905,,,Unknown,
A834253,,,Unknown,
A846695,,,Unknown,
A857681,,,Unknown,
A841954,,,Austin,TX
A841950,,,Austin,TX
A822449,,,Unknown,
A901263,,,Unknown,
A791868,,,Unknown,
A819685,,,Unknown,
A895468,,,Unknown,
A813735,,,Unknown,
A898254,,,Unknown,
A865167,,,Unknown,
A900998,,,Unknown,
A827768,,,Unknown,
A783803,,,Unknown,
A854098,,,Unknown,
A898251,,,Unknown,
A912672,,,Unknown,
A889026,,,Unknown,
A822360,,,Unknown,
A812791,,,Unknown,
A858587,,,Unknown,
A873986,,,Unknown,
A860880,,,Unknown,
A872885,,,Unknown,
A812451,,,Unknown,
A829801,,,Unknown,
A882172,,,Unknown,
A843960,,,Unknown,
A877592,,,Travis County,TX
A861295,,,Unknown,
A891455,,,Unknown,
A849387,,,Unknown,
A894836,,,Unknown,
A878316,,,Unknown,
A864489,,,Unknown,
A823615,,,Unknown,
A834254,,,Unknown,
A830233,,,Unknown,
A836048,,,Unknown,
A893804,,,Unknown,
A835831,,,Unknown,
A847897,,,Unknown,
A824342,,,Unknown,
A839473,,,Unknown,
A890634,,,Unknown,
A836425,,,Unknown,
A812974,,,Unknown,
A851139,,,Unknown,
A885911,,,Unknown,
A872347,,,Unknown,
A848187,,,Unknown,
A847951,,,Unknown,
A827576,,,Unknown,
A828404,,,Unknown,
A922805,,,Unknown,
A878486,,,Unknown,
A839685,,,Unknown,
A857553,,,Unknown,
A847909,,,Unknown,
A895469,,,Unknown,
A844359,,,Unknown,
A844851,,,Unknown,
A657146,,,Unknown,
A898795,,,Unknown,
A929646,,,Unknown,
A813055,,,Unknown,
A828035,,,Unknown,
A907765,,,Unknown,
A845471,,,Unknown,
A905708,,,Unknown,
A866783,,,Unknown,
A920978,,,Unknown,
A817497,,,Unknown,
A848000,,,Unknown,
A928093,,,Unknown,
A840958,,,Unknown,
A821591,,,Unknown,
A903723,,,Unknown,
A806379,,,Unknown,
A846503,,,Unknown,
A879157,,,Unknown,
A896303,,,Unknown,
A902072,,,Unknown,
A912917,,,Unknown,
A857934,,,Unknown,
A896304,,,Unknown,
A854014,,,Unknown,
